,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,tunnel,ref,access,service,bridge,width
0,8174673,True,Rue Léopold - Leopoldstraat,pedestrian,30,56.59399999999999,"LINESTRING (4.3553309 50.8500126, 4.3553052 50.8499783, 4.3552964 50.8499683, 4.3552569 50.8499239, 4.3549031 50.8495817)",,,,,,,,
1,33739373,False,Rue du Fossé aux Loups - Wolvengracht,tertiary,30,11.825,"LINESTRING (4.3553309 50.8500126, 4.3552849 50.8500257, 4.3551786 50.850058)",2,,,,,,,
2,33739362,True,Rue de l'Écuyer - Schildknaapsstraat,residential,30,20.423,"LINESTRING (4.3542685 50.8490046, 4.3543695 50.8489746, 4.3545298 50.8489239)",2,,,,,,,
3,741239064,False,Boulevard Maurice Lemonnier - Maurice Lemonnierlaan,tertiary,30,34.508,"LINESTRING (4.3445563 50.8434423, 4.3446256 50.8435108, 4.3446447 50.8435297, 4.3446787 50.8435633, 4.3448222 50.8437033)",2,,,,,,,
4,13252094,False,Rue de la Senne - Zennestraat,living_street,20,105.941,"LINESTRING (4.3404716 50.8478484, 4.3405065 50.8479098, 4.3406538 50.8481709, 4.3409172 50.8486848, 4.3409834 50.8487412)",,,,,,,,
5,13662091,True,Rue de l'Abattoir - Slachthuisstraat,living_street,20,159.24,"LINESTRING (4.3404716 50.8478484, 4.3403714 50.8478618, 4.3403289 50.8478622, 4.3383211 50.8475698, 4.3382594 50.8475627)",,,,,,,,
6,40625496,True,Rue de la Senne - Zennestraat,living_street,20,60.165,"LINESTRING (4.3404716 50.8478484, 4.3403886 50.847808, 4.3401718 50.8474207, 4.3402243 50.8473658)",,,,,,,,
7,14027619,True,Rue du Moniteur - Staatsbladsstraat,living_street,20,8.876999999999999,"LINESTRING (4.3637117 50.849215, 4.3636652 50.8492265, 4.3636277 50.8492368, 4.3635946 50.8492451)",,,,,,,,
8,"[307513231, 345338279]",True,Rue Royale - Koningsstraat,secondary,30,53.49,"LINESTRING (4.3637117 50.849215, 4.3638781 50.849561, 4.3638883 50.8495821, 4.3639341 50.8496751)",1,,,,,,,
9,8511795,True,Rue de la Chancellerie - Kanselarijstraat,tertiary,30,61.894,"LINESTRING (4.3599512 50.8458155, 4.3599949 50.845895, 4.3602075 50.8462991, 4.3602312 50.8463433)",1,,,,,,,
