,osmid,lanes,highway,junction,oneway,length,geometry,ref,name,maxspeed,service,bridge,tunnel,access,width
0,4519539,2,primary,roundabout,True,11.371,"LINESTRING (4.4826983 50.4656535, 4.4826243 50.4656325, 4.4825623 50.4656007)",,,,,,,,
1,8425377,2,primary,,True,1652.877,"LINESTRING (4.4824811 50.4654319, 4.4822554 50.4653657, 4.4799395 50.4646865, 4.4782148 50.4641875, 4.4764596 50.4637034, 4.4752869 50.4633651, 4.4741922 50.4630492, 4.4719533 50.4623717, 4.4699254 50.4617811, 4.4678518 50.4611774, 4.4636968 50.4599696, 4.4612359 50.4592646)",N568,Rue des Fusillés,,,,,,
2,297313305,2,primary,roundabout,True,14.01,"LINESTRING (4.4824811 50.4654319, 4.4825101 50.4653759, 4.4825729 50.4653221)",,,,,,,,
3,297313319,2,primary,roundabout,True,11.799,"LINESTRING (4.4825729 50.4653221, 4.4826654 50.4652835, 4.482718 50.4652711)",,,,,,,,
4,1031967941,2,primary,roundabout,True,12.117,"LINESTRING (4.4830951 50.465464, 4.4830839 50.4655174, 4.4830493 50.4655679)",,,,,,,,
5,1031967941,2,primary,roundabout,True,10.619,"LINESTRING (4.4830493 50.4655679, 4.4829995 50.4656057, 4.4829427 50.4656344)",,,,,,,,
6,103310782,,residential,,False,9.628,"LINESTRING (4.440923 50.4352466, 4.4408805 50.4352339, 4.4408437 50.435223, 4.4407998 50.43521)",,Rue de la Marine (Nord) - Rue du Château d'Eau (Sud),50,,,,,
7,204395564,,tertiary,,True,91.554,"LINESTRING (4.440923 50.4352466, 4.4410098 50.435281, 4.4415557 50.4355628, 4.4418134 50.4357103, 4.4419406 50.4357495)",,Rue Remoncheval (Nord) - Rue Paul Pastur (Sud),50,,,,,
8,975061055,,primary,,True,163.182,"LINESTRING (4.440923 50.4352466, 4.4408313 50.4353289, 4.4407531 50.4354415, 4.4403581 50.4357747, 4.4400215 50.436084, 4.439889 50.4362092, 4.4398189 50.4363454, 4.4397496 50.4364943)",N5,Chaussée de Bruxelles,50,,,,,
9,975054648,,primary,,True,39.246,"LINESTRING (4.4405131 50.4236019, 4.4405292 50.4239547)",N5,Chaussée de Bruxelles,,,,,,
10,185094563,,service,,False,78.27900000000001,"LINESTRING (4.4405131 50.4236019, 4.4405453 50.4236015, 4.4407341 50.4236591, 4.4413385 50.4237583, 4.4412385 50.4238968)",,,,parking_aisle,,,,
11,"[22717969, 57899209, 57899207]",2,primary,,True,962.7649999999998,"LINESTRING (4.447664 50.4553121, 4.4471112 50.4551548, 4.4459877 50.4548398, 4.4444159 50.454383, 4.4439279 50.4542292, 4.443619 50.4541187, 4.4433149 50.4539891, 4.4428384 50.4537539, 4.4424858 50.4535438, 4.4418521 50.4531311, 4.441256 50.4527682, 4.4409177 50.4525607, 4.4402359 50.4521195, 4.4398843 50.4518976, 4.43975 50.451832, 4.4396158 50.4517789, 4.4394603 50.4517391, 4.439307 50.4517207, 4.4391295 50.4517263, 4.4389487 50.4517656, 4.4388025 50.4518183, 4.4386598 50.4518995, 4.4385132 50.4520233, 4.4381404 50.4524378, 4.4379893 50.4525681, 4.4377955 50.4527014, 4.4376234 50.4527918, 4.4374247 50.4528812, 4.437172 50.4529645, 4.4370005 50.453006, 4.4368352 50.4530367)",N568,Rue des Fusillés,70,,yes,,,
12,23135622,,unclassified,,False,522.225,"LINESTRING (4.447664 50.4553121, 4.4475886 50.455423, 4.4483541 50.4556282, 4.448479 50.4556776, 4.4493238 50.4559243, 4.4501677 50.4561688, 4.4531443 50.4570301, 4.453505 50.4571257, 4.4537892 50.457236, 4.4538865 50.4572696, 4.4539866 50.457272, 4.4540145 50.4572607, 4.4541121 50.4572213)",,,,,,,,
13,823823027,,primary,roundabout,True,15.214,"LINESTRING (4.438396 50.41641, 4.4384524 50.4164059, 4.4385087 50.4164109, 4.4385557 50.4164228, 4.4385975 50.4164409)",,Chaussée de Bruxelles,,,,,,
14,"[180769621, 823823029]",,primary,,False,314.742,"LINESTRING (4.438396 50.41641, 4.4379105 50.4153091, 4.4378788 50.4152371, 4.4378389 50.4151433, 4.4378166 50.4150918, 4.4372056 50.413683)",N5,Chaussée de Bruxelles,50,,,,,
15,63657759,,tertiary,,False,104.356,"LINESTRING (4.425778 50.4003102, 4.4259903 50.4002641, 4.4267444 50.4001309, 4.427193 50.4000516)",,Rue Jules Bordet,50,,,,,
16,264951447,,residential,,False,127.92,"LINESTRING (4.425778 50.4003102, 4.4256597 50.4003642, 4.4243111 50.4009804)",,Rue Chapelle Beaussart,50,,,,,
17,"[845207366, 952082095]","['3', '2']",primary,,False,135.157,"LINESTRING (4.425778 50.4003102, 4.4258661 50.4003596, 4.4259531 50.4004075, 4.4263095 50.4006037, 4.4265036 50.4007105, 4.4272206 50.4011051)",N53,Avenue Paul Pastur,50,,,,,
18,"[952082096, 952082097]","['3', '4']",primary,,False,94.48400000000001,"LINESTRING (4.425778 50.4003102, 4.4256832 50.4002577, 4.4252982 50.4000398, 4.4252357 50.4000044, 4.4247804 50.3997466)",N53,Avenue Paul Pastur,50,,,,,
19,70601610,,unclassified,,False,333.5959999999999,"LINESTRING (4.4288859 50.402013, 4.428738 50.4020645, 4.427375 50.4023327, 4.4270275 50.4024342, 4.4267649 50.4025844, 4.4254922 50.4038237, 4.4254463 50.4038069)",,Avenue Emile Rousseaux,50,,,,,
20,845207366,2,primary,,False,98.095,"LINESTRING (4.4288859 50.402013, 4.4286039 50.4018666, 4.4282379 50.4016651, 4.4280921 50.4015848, 4.4278317 50.4014415)",N53,Avenue Paul Pastur,50,,,,,
21,845207366,2,primary,,False,43.859,"LINESTRING (4.4288859 50.402013, 4.4290499 50.4020977, 4.4293666 50.4022614)",N53,Avenue Paul Pastur,50,,,,,
22,975061055,,primary,,True,123.061,"LINESTRING (4.4397496 50.4364943, 4.4396366 50.436737, 4.4393149 50.4375134, 4.4392986 50.4375629)",N5,Chaussée de Bruxelles,50,,,,,
23,31870158,,trunk_link,,True,113.168,"LINESTRING (4.4859423 50.42201, 4.4853568 50.4220274, 4.4845945 50.4220707, 4.4843486 50.4220734)",,,50,,,,,
24,613705277,2,trunk,,True,958.4280000000001,"LINESTRING (4.4859423 50.42201, 4.4852685 50.4219813, 4.4834423 50.4219832, 4.4829528 50.4219578, 4.4825408 50.4219142, 4.4821646 50.4218505, 4.4818058 50.42178, 4.4813559 50.4216504, 4.480951 50.4215056, 4.4806021 50.4213422, 4.4800971 50.4211087, 4.4795966 50.420914, 4.4789661 50.420725, 4.4784306 50.4206052, 4.477885 50.4205036, 4.477367 50.4204337, 4.4768071 50.4203757, 4.476511 50.4203536, 4.4759059 50.4203322, 4.4753292 50.4203422, 4.4746167 50.4203864, 4.4738776 50.4204829, 4.4730406 50.4206359)",N90,Route de la Basse Sambre,70,,,,,
