,osmid,lanes,name,highway,maxspeed,oneway,length,ref,geometry,width,service,junction,access,bridge,tunnel
0,3677328,2,Naamsepoort,secondary,50,False,15.642,,"LINESTRING (4.6984941 50.8686501, 4.6986373 50.8687579)",,,,,,
1,3677822,2,Erasme Ruelensvest,secondary,50,True,14.323,R23z,"LINESTRING (4.6984941 50.8686501, 4.6986628 50.8685776)",,,,,,
2,3328914,2,Naamsesteenweg,primary,50,True,12.9,N251,"LINESTRING (4.6984941 50.8686501, 4.6984036 50.8686135, 4.6983577 50.868575)",,,,,,
3,3328699,2,Koning Leopold III-laan,tertiary,30,False,28.669,,"LINESTRING (4.692315 50.8560396, 4.6924226 50.8559642, 4.6925926 50.8558505)",,,,,,
4,3328699,2,Koning Leopold III-laan,tertiary,30,False,25.11,,"LINESTRING (4.692315 50.8560396, 4.692227 50.8561072, 4.6920901 50.8562152)",,,,,,
5,3450243,1,Middelweg,residential,30,False,151.179,,"LINESTRING (4.692315 50.8560396, 4.6922436 50.8559819, 4.6922234 50.8559529, 4.6918862 50.8547164)",6,,,,,
6,342997240,1,Parkpoort,secondary_link,50,False,29.441,,"LINESTRING (4.7077231 50.8693327, 4.7079675 50.8691175)",,,,,,
7,"[608715533, 3343965]",2,Parkstraat,tertiary,30,False,57.824,,"LINESTRING (4.7077231 50.8693327, 4.7076799 50.8693632, 4.7075469 50.8694627, 4.7074801 50.8695106, 4.7071978 50.8697117, 4.7071801 50.8697238)",,,,,,
8,3677823,2,Naamsevest,secondary,50,True,26.07,R23,"LINESTRING (4.7077231 50.8693327, 4.707559 50.8692959, 4.7073739 50.8692527)",,,,,,
9,3351203,1,Hendrik Consciencestraat,tertiary,30,False,21.849,,"LINESTRING (4.70379 50.8721454, 4.7037716 50.8721061, 4.7037229 50.8720779, 4.7035821 50.8720068)",,,,,,
10,79002190,1,Andreas Vesaliusstraat,residential,30,True,80.70599999999999,,"LINESTRING (4.70379 50.8721454, 4.7038174 50.8722043, 4.7044977 50.8727114)",,,,,,
11,439142858,,Parkstraat,residential,30,False,72.448,,"LINESTRING (4.70379 50.8721454, 4.7037073 50.8722069, 4.7030525 50.8726008)",,,,,,
12,"[843033254, 843033255]",2,Parkstraat,tertiary,30,False,83.10300000000001,,"LINESTRING (4.70379 50.8721454, 4.7038535 50.8720981, 4.7038907 50.8720725, 4.7044516 50.871686, 4.7045871 50.8715927)",,,,,,
13,3351202,1,Verkortingstraat,residential,30,False,30.307,,"LINESTRING (4.6991649 50.8696023, 4.6992302 50.8695224, 4.6992979 50.8694949, 4.6993939 50.8693778)",,,,,,
14,3358657,1,Elzasgang,residential,30,False,72.004,,"LINESTRING (4.6991649 50.8696023, 4.6990602 50.8696134, 4.698143 50.8695688)",,,,,,
15,439142857,2,Naamsestraat,tertiary,30,False,91.63199999999999,,"LINESTRING (4.6991649 50.8696023, 4.6991126 50.8694203, 4.6990458 50.8692783, 4.6989768 50.8691675, 4.6987826 50.8689162, 4.6987459 50.8688686, 4.6987308 50.868849, 4.6987192 50.868833)",,,,,,
16,"[608715571, 608715564, 608715566]",2,Naamsestraat,tertiary,30,False,43.202,,"LINESTRING (4.6991649 50.8696023, 4.6991921 50.8697343, 4.6992146 50.8698365, 4.6992413 50.8699878)",,,,,,
17,"[608715571, 608715564, 608715566]",2,Naamsestraat,tertiary,30,False,43.20200000000001,,"LINESTRING (4.6992413 50.8699878, 4.6992146 50.8698365, 4.6991921 50.8697343, 4.6991649 50.8696023)",,,,,,
18,608715568,2,Naamsestraat,tertiary,30,False,26.426,,"LINESTRING (4.6992413 50.8699878, 4.6992523 50.8700647, 4.699275 50.8702245)",,,,,,
19,8131717,2,Tiensevest,secondary,50,True,67.635,R23,"LINESTRING (4.7157997 50.8777851, 4.7157961 50.8777138, 4.7156332 50.8772231, 4.7156208 50.8771884)",,,,,,
20,3343954,1,Blijde-Inkomststraat,tertiary,30,True,8.618,,"LINESTRING (4.7143221 50.8737615, 4.7142362 50.8738169)",,,,,,
