,osmid,bridge,oneway,lanes,name,highway,maxspeed,length,geometry,ref,access,junction,tunnel,service,width,est_width
0,"[623809088, 28641074, 151659531, 623809087]",yes,True,"['3', '2']",Pont des Grosses Battes,tertiary,50,202.385,"LINESTRING (5.6011665 50.615225, 5.6014295 50.6146131, 5.6016035 50.6142195, 5.6016853 50.6140747, 5.6018475 50.6136787, 5.6018677 50.6135681, 5.6018545 50.6134657)",,,,,,,
1,361342365,,True,2,Rue des Vennes,primary,50,56.526,"LINESTRING (5.5971789 50.616662, 5.5972398 50.6165627, 5.5973585 50.6164466, 5.5974939 50.616367, 5.5976686 50.6162994, 5.597692 50.6162923)",N30,,,,,,
2,137835295,,True,2,Boulevard de Douai,primary,50,42.95,"LINESTRING (5.5921118 50.6223404, 5.5926591 50.6221712)",N30,,,,,,
3,42670870,,True,2,Boulevard de Froidmont,primary,50,24.416,"LINESTRING (5.5916373 50.6226345, 5.5918644 50.6224688)",N30,,,,,,
4,96320879,,True,,Rue des Gravillons,residential,50,33.31699999999999,"LINESTRING (5.5916373 50.6226345, 5.5916472 50.6225846, 5.5916524 50.6225607, 5.5916534 50.6225392, 5.5916402 50.622489, 5.5916093 50.6224606, 5.5914896 50.6223699)",,,,,,,
5,31632816,,True,1,Quai de l'Ourthe,primary_link,50,36.961,"LINESTRING (5.585199 50.6375142, 5.5849568 50.6374907, 5.5846802 50.6374671)",,,,,,,
6,31633572,,True,,Rue Rouleau,residential,50,91.86699999999999,"LINESTRING (5.585199 50.6375142, 5.5847402 50.6382149, 5.5847253 50.6382817)",,,,,,,
7,31633419,,True,1,Quai de l'Ourthe,primary_link,50,115.967,"LINESTRING (5.5814594 50.6375049, 5.5811276 50.6374988, 5.5809683 50.6374914, 5.5808068 50.6374765, 5.5806687 50.6374606, 5.5805209 50.637442, 5.5802547 50.6374092, 5.5799674 50.6373616, 5.579839 50.6373472)",,,,,,,
8,105775507,,True,,Quai de l'Ourthe,primary,50,72.77199999999999,"LINESTRING (5.5814594 50.6375049, 5.5807113 50.6374124, 5.5804505 50.6373688)",N610,,,,,,
9,28663832,,True,,Quai de la Boverie,primary,50,96.674,"LINESTRING (5.5775231 50.6358269, 5.577433 50.6357007, 5.5773471 50.635565, 5.5770493 50.6350117)",N610,,,,,,
10,313734082,,False,,Rue Adrien de Witte,residential,,138.041,"LINESTRING (5.5855071 50.6286237, 5.58529 50.6284152, 5.58517 50.6283221, 5.5849125 50.6281645, 5.5845357 50.6279797, 5.5840682 50.627809)",,,,,,,
11,414871164,,True,2,Boulevard Raymond Poincaré,primary,50,129.066,"LINESTRING (5.5855071 50.6286237, 5.5857452 50.6285884, 5.5861006 50.6285433, 5.586248 50.6285165, 5.5863329 50.6284983, 5.5864093 50.6284747, 5.5866542 50.6283766, 5.586818 50.6282856, 5.5869436 50.6282013, 5.5870728 50.6281006)",N30,,,,,,
12,35914561,,False,,Rue Bernimolin,residential,,18.58,"LINESTRING (5.5870728 50.6281006, 5.5871612 50.628258)",,,,,,,
13,24813980,,True,2,Boulevard Frankignoul,primary,50,178.329,"LINESTRING (5.5870728 50.6281006, 5.5871883 50.6280101, 5.587293 50.6279169, 5.5884412 50.6267532)",N30,,,,,,
