,osmid,oneway,lanes,ref,name,highway,maxspeed,length,bridge,junction,geometry,access,service,tunnel,width
0,"[4322146, 34080111, 192480902, 4322151]",True,1,N80,Route de Hannut,primary,90,284.74,yes,roundabout,"LINESTRING (4.9102207 50.477944, 4.9100688 50.4777797, 4.9099947 50.4777124, 4.9093604 50.4772892, 4.908351 50.4766157, 4.9082834 50.4765644, 4.90814 50.4764987, 4.9079966 50.476458, 4.9078445 50.4764438, 4.9076983 50.4764038, 4.9076115 50.4763487, 4.9075576 50.4762847, 4.9075359 50.4762109, 4.9075597 50.4761444)",,,,
1,298428752,True,2,N80,Route de Hannut,primary,,20.852,,roundabout,"LINESTRING (4.9102207 50.477944, 4.9102702 50.47789, 4.9103394 50.4778456, 4.9104238 50.4778137)",,,,
2,4322145,True,2,N80,Route de Hannut,primary,,19.547,,roundabout,"LINESTRING (4.9106481 50.4782857, 4.9105419 50.4782884, 4.9104606 50.4782762, 4.9103824 50.4782528)",,,,
3,4322143,True,2,N80,Route de Hannut,primary,90,150.236,,,"LINESTRING (4.9108027 50.4782449, 4.9108434 50.4783546, 4.9111095 50.4787807, 4.9114032 50.4792261, 4.9115967 50.4794962)",,,,
4,298428751,True,2,N80,Route de Hannut,primary,,11.912,,roundabout,"LINESTRING (4.9108027 50.4782449, 4.9107289 50.4782706, 4.9106481 50.4782857)",,,,
5,"[40354080, 40354083, 37885664]",False,,,Chemin des Grasses Oies,"['service', 'track']",,370.517,,,"LINESTRING (4.9109542 50.477972, 4.911102 50.4779514, 4.9112967 50.4779228, 4.9113914 50.4778886, 4.9114642 50.4778433, 4.9115061 50.4777842, 4.9115102 50.4777076, 4.9114902 50.4775424, 4.9115055 50.4774008, 4.9115393 50.4772357, 4.9117057 50.4769743, 4.9118244 50.4766196, 4.9118664 50.4765286, 4.9122907 50.4765218, 4.9126741 50.4765476, 4.9127974 50.4765895, 4.9128764 50.4767285, 4.9129128 50.4768607, 4.9130154 50.4770416, 4.9132145 50.4771885, 4.913419 50.477315, 4.9136251 50.4774155)",agricultural,,,
6,298428745,True,2,N80,Route de Hannut,primary,,34.226,,roundabout,"LINESTRING (4.9109542 50.477972, 4.9109696 50.4780483, 4.9109475 50.478124, 4.91089 50.4781917, 4.9108027 50.4782449)",,,,
7,298428745,True,2,N80,Route de Hannut,primary,,46.669,,roundabout,"LINESTRING (4.9104238 50.4778137, 4.9105648 50.4777932, 4.9107078 50.4778068, 4.9108165 50.477844, 4.9109015 50.477901, 4.9109542 50.477972)",,,,
8,4322143,True,2,N80,Route de Hannut,primary,90,426.0409999999999,,,"LINESTRING (4.9115967 50.4794962, 4.9122531 50.4802595, 4.9127558 50.4808569, 4.9138434 50.4818854, 4.914437 50.4823275, 4.9148325 50.4827156)",,,,
9,28351114,True,,,,unclassified,,38.973,,,"LINESTRING (4.9115967 50.4794962, 4.9117695 50.4795463, 4.9118547 50.4795534, 4.9121295 50.4795474)",,,,
10,4573099,False,,N80,Route de Hannut,primary,90,51.434,,,"LINESTRING (4.9148325 50.4827156, 4.9153493 50.4830409)",,,,
11,28351108,True,2,N80,Route de Hannut,primary,90,183.33,,,"LINESTRING (4.9148325 50.4827156, 4.9143137 50.4823711, 4.9137737 50.481923, 4.9132105 50.4814332)",,,,
12,4573099,False,,N80,Route de Hannut,primary,90,69.242,,,"LINESTRING (4.9310663 50.4934337, 4.9315011 50.4939916)",,,,
13,30924913,False,,,Rue de l'Église de Boninne,residential,50,65.985,,,"LINESTRING (4.9310663 50.4934337, 4.9303484 50.4938126)",,,,
14,4573099,False,,N80,Route de Hannut,primary,90,239.504,,,"LINESTRING (4.9310663 50.4934337, 4.9310288 50.4933814, 4.930326 50.4924026, 4.9300259 50.4919918, 4.9298315 50.4917474, 4.9297595 50.4916695, 4.9297018 50.4916008, 4.9296034 50.4914924)",,,,
15,37909177,False,,N80,Route de Hannut,primary,30,15.818,,,"LINESTRING (4.9324964 50.4952852, 4.9326276 50.4954004)",,,,
16,"[37909176, 37909177, 4573099]",False,,N80,Route de Hannut,primary,"['30', '90', '70']",160.2,,,"LINESTRING (4.9324964 50.4952852, 4.9323548 50.4951249, 4.9318508 50.494435, 4.9315011 50.4939916)",,,,
17,418281981,False,,,Rue Arthur Blairon,residential,30,60.072,,,"LINESTRING (4.9324964 50.4952852, 4.932833 50.4950981, 4.9330878 50.4949001)",,,,
18,37909172,False,,N80,Route de Hannut,primary,50,31.706,,,"LINESTRING (4.9362735 50.4972547, 4.935919 50.4970802)",,,,
19,28351105,False,,,Drève Boninas,residential,50,275.12,,,"LINESTRING (4.9362735 50.4972547, 4.9338961 50.4980357, 4.9329996 50.4985563)",,,,
20,"[37909171, 37909172]",False,,N80,Route de Hannut,primary,"['70', '50']",295.236,,,"LINESTRING (4.9362735 50.4972547, 4.9367783 50.4975033, 4.9379267 50.4980798, 4.9383444 50.4982799, 4.938618 50.4983944, 4.9388941 50.4984814, 4.9394677 50.498639, 4.9397343 50.4987105)",,,,
21,298428747,True,2,N80,Route de Hannut,primary,90,12.476,,roundabout,"LINESTRING (4.9077707 50.4760097, 4.9078561 50.4759957, 4.9079442 50.4759949)",,,,
22,29380504,True,,,Rue du Porson,unclassified,,24.277,,,"LINESTRING (4.9079442 50.4759949, 4.9080372 50.4759249, 4.9081575 50.475824)",,,,
23,298428747,True,2,N80,Route de Hannut,primary,90,16.947,,roundabout,"LINESTRING (4.9079442 50.4759949, 4.9080597 50.476015, 4.9081591 50.4760575)",,,,
24,158387140,True,2,N80,Route de Hannut,primary,,9.484,,roundabout,"LINESTRING (4.9036503 50.4734046, 4.903607 50.4733976, 4.9035688 50.4733829, 4.903539 50.4733617)",,,,
25,4581613,True,2,N80,Route de Hannut,primary,70,252.117,,,"LINESTRING (4.9038162 50.4733083, 4.9039019 50.4733592, 4.9039849 50.4734726, 4.9041651 50.4736401, 4.9061823 50.4749924)",,,,
26,159147855,True,2,N80,Route de Hannut,primary,,17.778,,roundabout,"LINESTRING (4.9038162 50.4733083, 4.9038035 50.4733474, 4.903767 50.4733799, 4.9037128 50.4734001, 4.9036503 50.4734046)",,,,
27,"[24660180, 358423350, 28388087]",True,1,N91,Chaussée de Louvain,primary,70,139.627,yes,,"LINESTRING (4.8947098 50.4947124, 4.8946798 50.4945661, 4.8944458 50.4936026, 4.8944104 50.4934713)",,,,
28,28388097,True,1,,,primary_link,,13.193,,,"LINESTRING (4.8944104 50.4934713, 4.8945947 50.4934895)",,,,
