City;Location;Coordinates;Country Code;Pollutant;Source Name;Unit;Value;Last Updated;Country
Flanders;Belgium - Flanders - 40AB02 - BERENDRECHT;51.34073,4.3218203;BE;PM10;EEA Belgium;µg/m³;39.2;2017-03-13T13:00:00+01:00;Belgium
Brussels;Belgium - Brussels - 41R012 - UCCLE;50.79663,4.3585386;BE;SO2;EEA Belgium;µg/m³;2.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42N046 - GELLIK;50.882298,5.618874;BE;NO2;EEA Belgium;µg/m³;5.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R897 - ANTWERPEN;51.250107,4.3421044;BE;SO2;EEA Belgium;µg/m³;0.0;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43H201 - LIEGE;50.624992,5.5474644;BE;SO2;EEA Belgium;µg/m³;0.5;2016-12-21T14:00:00+01:00;Belgium
Wallonia;Belgium - Wallonia - 43N093 - SINSIN;50.27448,5.2351685;BE;O3;EEA Belgium;µg/m³;44.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R701 - GENT;51.05833,3.729298;BE;O3;EEA Belgium;µg/m³;35.0;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 45R501 - CHARLEROI;50.409313,4.452172;BE;CO;EEA Belgium;µg/m³;11.5;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 45R502 - LODELINSART;50.428997,4.4586806;BE;NO2;EEA Belgium;µg/m³;26.0;2017-07-21T00:00:00+02:00;Belgium
Limburg;Belgium - Limburg - BELGK06;50.92789,5.47062;BE;PM2.5;EEA Belgium;µg/m³;25.0;2019-01-31T09:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BELSA04;51.31393,4.403868;BE;PM2.5;EEA Belgium;µg/m³;7.0;2020-12-20T02:00:00+01:00;Belgium
Vlaams-Brabant;Belgium - Vlaams-Brabant - BELSZ02;50.91302,4.512184;BE;NO2;EEA Belgium;µg/m³;4.0;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETB011;50.858032,4.2883363;BE;NO2;EEA Belgium;µg/m³;3.0;2020-12-20T02:00:00+01:00;Belgium
Liege;Belgium - Liege - BETM204;50.611923,5.61115;BE;PM10;EEA Belgium;µg/m³;4.771;2020-12-20T02:00:00+01:00;Belgium
West-Vlaanderen;Belgium - West-Vlaanderen - BETN012;51.254574,3.362536;BE;PM2.5;EEA Belgium;µg/m³;10.5;2020-12-20T02:00:00+01:00;Belgium
Vlaams-Brabant;Belgium - Vlaams-Brabant - BETN040;50.76814,4.2251945;BE;O3;EEA Belgium;µg/m³;45.5;2020-12-20T02:00:00+01:00;Belgium
Limburg;Belgium - Limburg - BETN054;50.711704,5.1031585;BE;PM2.5;EEA Belgium;µg/m³;5.0;2020-12-20T02:00:00+01:00;Belgium
Namur;Belgium - Namur - BETN073;50.502716,4.988423;BE;O3;EEA Belgium;µg/m³;47.0;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETR001;50.849667,4.33382;BE;CO;EEA Belgium;µg/m³;0.17;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETR002;50.825127,4.384719;BE;CO;EEA Belgium;µg/m³;0.13;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR731;51.12469,3.7395043;BE;PM10;EEA Belgium;µg/m³;17.6;2020-12-20T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETR801;51.209663,4.431821;BE;PM10;EEA Belgium;µg/m³;12.6;2020-12-20T02:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 40GK06 - GENK;50.92789,5.47062;BE;PM2.5;EEA Belgium;µg/m³;4.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 40GK09 - GENK;50.93463,5.4927883;BE;SO2;EEA Belgium;µg/m³;3.0;2017-01-06T11:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 40HB23 - HOBOKEN;51.1703,4.341005;BE;PM2.5;EEA Belgium;µg/m³;5.0;2017-07-21T00:00:00+02:00;Belgium
Brussels;Belgium - Brussels - 41B011 - BERCHEM S.A;50.858032,4.2883363;BE;PM2.5;EEA Belgium;µg/m³;5.05;2017-07-21T00:00:00+02:00;Belgium
Brussels;Belgium - Brussels - 41B011 - BERCHEM S.A;50.858032,4.2883363;BE;NO2;EEA Belgium;µg/m³;4.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42N045 - HASSELT;50.939713,5.3683786;BE;SO2;EEA Belgium;µg/m³;1.0;2017-01-06T11:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 42R801 - BORGERHOUT;51.209663,4.431821;BE;NO2;EEA Belgium;µg/m³;23.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R815 - ZWIJNDRECHT;51.2147,4.3322062;BE;SO2;EEA Belgium;µg/m³;1.0;2017-03-06T11:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 42R831 - BERENDRECHT;51.348797,4.3397098;BE;O3;EEA Belgium;µg/m³;54.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R834 - Boom;51.092,4.3801036;BE;NO2;EEA Belgium;µg/m³;12.0;2017-07-21T00:00:00+02:00;Belgium
